label,email_text
ham,Hi John, I wanted to follow up on our meeting yesterday. Can we schedule another time?
ham,Great work on that presentation! Your insights were really valuable for the project.
ham,Please review the attached document and let me know your thoughts by Friday.
ham,The team lunch is scheduled for next Tuesday at 12 PM in the main conference room.
ham,Your package has been delivered. Thank you for shopping with us!
ham,Meeting notes from today are attached. Please review and comment.
ham,Welcome to our company! We're excited to have you on board. Your onboarding session is scheduled.
ham,Quick question about the project requirements. Can you clarify what you meant by scope?
ham,Invoice #12345 is now available for download from your account dashboard.
ham,Thank you for your purchase. Your order #98765 is being processed.
spam,URGENT: Confirm your Apple ID password immediately or your account will be suspended!
spam,Your account has been compromised. Click here to verify your identity: bit.ly/verify
spam,Congratulations! You have won a FREE iPhone 13! Claim your prize now: winner-iphone.tk
spam,EXCLUSIVE OFFER: Earn $5000 per week from home! No experience needed! Apply now!
spam,Adobe: Your subscription renewal is due. Update your payment info at adobe-verify.com
spam,Subject: Summer internship opportunity at Google. Click here to apply and start earning
spam,ALERT: Suspicious activity detected on your bank account. Verify account here: secure-banking.tk
spam,Subject: You are eligible for cryptocurrency investment returns of 200% APY guaranteed!
spam,LIMITED TIME: Microsoft Office at 90% OFF! Buy now and get free lifetime updates!
spam,Subject: Claim your inheritance! You have been selected to receive $2.5 million USD
spam,Netflix: Your payment method declined. Update it here to continue membership: netflix-login.tk
spam,Subject: Job opportunity - work from home, earn $10k monthly! No qualifications needed
spam,Your parcel is pending delivery. Update shipping address here: track-delivery.tk
spam,UNBELIEVABLE: Lose 50 pounds in 2 weeks with our miracle diet pill! Order now!
spam,Subject: LinkedIn: You have 47 new job recommendations from top tech companies
spam,Your Gmail account was accessed from unknown location. Verify account here immediately
spam,Subject: Win an all-expense paid trip to Hawaii! Click to enter our lottery
spam,URGENT: IRS Tax Refund Ready! Claim your $3,847 refund: irs-refund-claim.tk
spam,Subject: Free Amazon gift card worth $500! Complete 3 offers to claim yours
spam,Your PayPal account is under review. Confirm your identity to unlock: paypal-security-check.tk
spam,Subject: Exclusive dating opportunity for singles in your area. Join for FREE today!
spam,ALERT: Your WordPress site has been hacked! Click to remove malware: wordpress-fix.tk
spam,Subject: You have been selected for a special $15,000 lending opportunity with 0% interest
spam,Confirm your Twitter account credentials to unlock enhanced security features
spam,Subject: Photoshop, Windows, Office, cheap! Professional software at unbeatable prices
spam,Subject: Your path forward with Adobe starts here. Click to verify account and claim discount
spam,FLASH SALE: Premium software bundle for only $29! Includes Photoshop, Illustrator, Premiere
spam,Subject: Opening from Dinner - We are starting a new business opportunity! Join our team!
spam,Subject: tarunsai.kola: Your path forward with Adobe starts here recruitment job offer
spam,Subject: Kitis KITCHEN - Opening from Dinner special event catering opportunity
spam,Subject: From Dub.co - Introducing Stablecoin Payouts with guaranteed 500% returns
spam,Subject: Steven - Introducing Stable coin Payouts crypto investment guaranteed profits
spam,Subject: Kamran Ahmed - AI Engineering Claude Code & Vibe Coding course special offer
spam,Subject: ATTENTION STUDENTS! IBM Powered Internship and Placement scholarship program
spam,Subject: GeeksforGeeks - 90% Refund + 35% Off on all programming courses this week only
spam,Subject: Dear Future Colleague - Congratulations on your selection for Adobe Marketing Internship
ham,Your monthly utility bill is ready for payment. Please find details attached.
ham,Confirming your appointment tomorrow at 2 PM with Dr. Smith.
ham,Here are the Q3 financial reports you requested. Let me know if you need clarification.
ham,Reminder: Quarterly team sync meeting at 10 AM tomorrow in zoom link below.
ham,Your refund has been processed and will appear in your account within 3-5 business days.
ham,Thank you for your feedback. We appreciate your business and look forward to serving you again.
spam,Subject: WINNER WINNER CHICKEN DINNER! You have been selected to receive $50000
spam,Claim your FREE government stimulus check now! No taxes required: stimulus-check-claim.tk
spam,Subject: Your computer has a virus! Download our security software immediately
spam,URGENT ACTION REQUIRED: Verify your social security number for account verification
spam,Subject: Sexy singles in your area want to meet you! Chat now for free
spam,Your Amazon Prime membership expires in 24 hours! Renew NOW: amazon-renew.tk
spam,Subject: You have qualified for a personal loan of $25000 at 0% interest rate applied
spam,BREAKING: Elon Musk is giving away Bitcoin! Send 0.5 BTC to get 5 BTC back!
spam,Subject: Urgent: Your Instagram account has been locked for security reasons verify now
spam,Click here to see who liked your photos on Facebook! Restricted content just for you
spam,Subject: Your Netflix subscription expires tomorrow. Re-enter payment details: netflix-verify.tk
